dimension,category,N
field_evidence_score,Score 0,33
field_evidence_score,Score 1,15
field_evidence_score,Score 2,4
field_evidence_score,Score 3,3
field_evidence_score,Score 4,0
field_evidence_score,Unknown / not reported,2
physical_consistency_score,Score 0,0
physical_consistency_score,Score 1,20
physical_consistency_score,Score 2,21
physical_consistency_score,Score 3,2
physical_consistency_score,Score 4,0
physical_consistency_score,Unknown / not reported,14
uncertainty_score,Score 0,1
uncertainty_score,Score 1,3
uncertainty_score,Score 2,19
uncertainty_score,Score 3,4
uncertainty_score,Score 4,0
uncertainty_score,Unknown / not reported,30
transferability_score,Score 0,1
transferability_score,Score 1,3
transferability_score,Score 2,17
transferability_score,Score 3,1
transferability_score,Score 4,1
transferability_score,Unknown / not reported,34
decision_readiness_score,Score 0,0
decision_readiness_score,Score 1,22
decision_readiness_score,Score 2,30
decision_readiness_score,Score 3,2
decision_readiness_score,Score 4,0
decision_readiness_score,Unknown / not reported,3
